Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
390,Trey Jemison,25,NOP,C,13,0,11.2,1.1,2.2,.500,0.0,0.0,,1.1,2.2,.500,.500,0.5,1.0,.462,1.2,1.6,2.8,0.6,0.5,0.5,0.8,1.8,2.6,,jemistr01
391,DeAndre Jordan,36,DEN,C,8,0,9.8,1.3,2.3,.556,0.0,0.0,,1.3,2.3,.556,.556,0.1,0.5,.250,1.3,2.0,3.3,0.5,0.3,0.3,0.9,1.4,2.6,,jordade01
392,Doug McDermott,33,SAC,SF,17,2,8.4,0.9,2.8,.319,0.7,2.3,.308,0.2,0.5,.375,.447,0.2,0.3,.600,0.1,0.8,0.8,0.2,0.1,0.1,0.1,0.9,2.6,,mcderdo01
393,Dillon Jones,23,OKC,SF,20,0,8.8,1.0,2.7,.352,0.4,1.6,.219,0.6,1.1,.545,.417,0.3,0.4,.625,0.8,1.3,2.1,0.8,0.2,0.1,0.4,1.0,2.5,,jonesdi01
394,E.J. Liddell,24,CHI,PF,6,0,5.2,0.8,1.3,.625,0.5,1.0,.500,0.3,0.3,1.000,.813,0.3,0.3,1.000,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,,liddeej01
395,Drew Peterson,25,BOS,PF,6,0,10.3,0.7,2.0,.333,0.7,1.8,.364,0.0,0.2,.000,.500,0.5,0.7,.750,0.5,1.7,2.2,0.3,0.3,0.3,0.3,0.8,2.5,,peterdr01
396,Jaylon Tyson,22,CLE,SG,12,1,8.5,1.0,2.2,.462,0.3,0.8,.300,0.8,1.3,.563,.519,0.3,0.5,.500,0.8,1.2,2.0,0.9,0.3,0.0,0.5,1.4,2.5,,tysonja01
397,Anthony Gill,32,WAS,PF,14,0,6.4,0.9,1.4,.600,0.2,0.5,.429,0.6,0.9,.692,.675,0.5,1.0,.500,0.2,0.8,1.0,0.4,0.2,0.1,0.1,0.2,2.4,,gillan01
398,Jeff Green,38,HOU,PF,7,0,5.7,1.0,1.9,.538,0.4,1.1,.375,0.6,0.7,.800,.654,0.0,0.0,,0.0,0.6,0.6,0.1,0.3,0.0,0.3,0.3,2.4,,greenje02
399,Jordan McLaughlin,28,SAC,PG,17,0,8.5,0.7,1.9,.364,0.4,1.1,.316,0.4,0.8,.429,.455,0.6,0.8,.714,0.2,0.8,1.0,0.9,0.5,0.0,0.5,0.6,2.4,,mclaujo01
