Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
169,Ziaire Williams,23,BRK,SF,21,7,459,11.1,.507,.415,.277,5.6,18.7,11.9,7.9,2.2,1.5,9.6,19.2,0.0,0.4,0.4,.040,-3.7,-0.3,-3.9,-0.2,,willizi02
170,Quentin Grimes,24,DAL,SG,20,7,408,13.8,.633,.581,.290,3.6,15.2,9.6,9.4,1.7,0.9,12.5,16.6,0.6,0.5,1.1,.125,0.5,0.1,0.6,0.3,,grimequ01
171,Miles Bridges,26,CHO,PF,11,11,331,15.9,.548,.473,.226,2.5,22.0,11.9,16.5,1.0,1.5,8.5,22.4,0.5,0.3,0.8,.109,1.3,-0.8,0.5,0.2,,bridgmi02
172,Isaiah Joe,25,OKC,SG,19,8,422,12.1,.563,.800,.067,2.7,10.0,6.4,10.2,1.7,1.0,6.1,16.6,0.4,0.7,1.1,.124,-0.2,0.0,-0.2,0.2,,joeis01
173,Kevin Huerter,26,SAC,SG,19,15,491,10.0,.516,.671,.093,1.2,13.3,7.4,10.8,2.0,2.3,10.2,16.5,0.0,0.5,0.4,.042,-2.8,-0.2,-3.0,-0.1,,huertke01
174,Caleb Martin,29,PHI,SF,18,15,560,9.5,.498,.345,.378,5.0,13.8,9.1,11.8,1.7,1.6,16.5,16.2,-0.3,0.4,0.2,.014,-3.0,-0.5,-3.6,-0.2,,martica02
175,Carlton Carrington,19,WAS,PG,19,12,535,9.0,.518,.500,.162,0.8,14.7,7.7,21.5,1.8,1.0,19.1,15.9,-0.3,0.1,-0.2,-0.014,-4.2,-0.8,-5.0,-0.4,,carrica01
176,Grayson Allen,29,PHO,SG,16,1,370,11.6,.566,.750,.280,2.4,10.3,6.4,8.3,1.5,1.2,10.8,19.9,0.1,0.2,0.4,.047,-1.1,-1.4,-2.4,0.0,,allengr01
177,Draymond Green,34,GSW,PF,19,19,542,13.0,.567,.567,.378,3.3,18.9,11.1,27.0,1.7,3.3,22.5,14.5,0.5,0.9,1.4,.124,-0.9,2.7,1.8,0.5,,greendr01
178,Gary Trent Jr.,26,MIL,SG,19,7,486,8.4,.542,.658,.123,0.7,8.0,4.5,5.3,1.8,0.2,6.7,14.9,0.1,0.3,0.4,.042,-3.8,-0.6,-4.4,-0.3,,trentga02
179,Grant Williams,26,CHO,PF,16,7,479,11.9,.596,.602,.301,4.0,15.2,9.4,11.4,1.9,2.7,16.7,14.8,0.4,0.5,0.9,.090,-2.0,0.5,-1.5,0.1,,willigr01
180,Al Horford,38,BOS,C,17,16,476,14.0,.641,.730,.048,3.7,16.5,10.1,11.5,1.4,2.8,11.7,13.3,0.8,0.6,1.4,.143,1.4,1.3,2.7,0.6,,horfoal01
181,Jeremiah Robinson-Earl,24,NOP,PF,22,4,464,13.4,.554,.413,.181,10.5,16.4,13.3,8.0,1.7,0.4,11.8,15.4,0.5,0.1,0.6,.062,-1.2,-1.9,-3.1,-0.1,,robinje02
182,Julian Strawther,22,DEN,SG,19,0,392,10.8,.585,.516,.270,1.7,9.1,5.5,8.9,1.8,1.6,10.8,17.1,0.3,0.3,0.6,.069,-2.4,-0.4,-2.9,-0.1,,strawju01
183,A.J. Green,25,MIL,SG,20,3,411,11.9,.697,.922,.052,1.1,10.0,5.7,6.8,1.4,0.2,9.3,13.9,0.7,0.3,0.9,.109,-0.3,-0.5,-0.8,0.1,,greenaj01
184,Chet Holmgren,22,OKC,C,10,10,265,22.6,.619,.333,.441,6.3,28.2,17.3,11.1,1.5,9.9,14.8,25.0,0.4,0.7,1.1,.196,2.2,3.5,5.7,0.5,,holmgch01
185,Walker Kessler,23,UTA,C,15,15,432,21.2,.725,.000,.432,15.1,25.2,20.2,7.2,0.9,9.1,15.7,13.0,1.1,0.4,1.5,.163,1.3,1.5,2.7,0.5,,kesslwa01
186,Dorian Finney-Smith,31,BRK,PF,15,15,435,12.5,.616,.680,.148,7.2,10.4,8.8,9.3,1.6,1.9,11.0,15.0,0.6,0.3,0.8,.091,0.2,-0.3,-0.1,0.2,,finnedo01
187,Moses Moody,22,GSW,SG,20,4,323,11.8,.581,.584,.232,2.8,9.8,6.3,8.3,0.9,1.8,11.0,19.8,0.2,0.3,0.6,.083,-1.2,-1.0,-2.2,0.0,,moodymo01
