Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
154,Mel Counts,31,LAL,C,59,,10.4,2.2,4.7,.457,0.7,1.0,.672,4.0,1.1,1.7,5.0,,countme01
155,Dennis Awtrey,24,2TM,C,82,34,20.6,1.8,3.7,.479,1.0,1.9,.562,5.5,2.7,2.9,4.6,,awtrede01
155,Dennis Awtrey,24,PHI,C,3,2,12.3,1.0,2.3,.429,0.3,1.3,.250,4.7,0.7,2.7,2.3,,awtrede01
155,Dennis Awtrey,24,CHI,C,79,32,20.9,1.8,3.8,.480,1.1,1.9,.570,5.5,2.8,2.9,4.7,,awtrede01
156,Jim Davis,31,DET,C,73,,10.6,1.8,3.5,.510,1.0,1.6,.632,3.6,0.8,1.7,4.6,,davisji01
157,Paul McCracken,22,HOU,SG,24,,12.7,1.8,3.7,.494,1.0,1.6,.590,2.1,0.7,1.3,4.6,,mccrapa01
158,Steve Kuberski,25,BOS,SF,78,,9.8,1.8,4.4,.403,0.8,1.1,.774,2.5,0.3,1.2,4.4,,kuberst01
159,LaRue Martin,22,POR,C,77,,12.9,1.9,4.8,.396,0.6,1.0,.649,4.6,0.5,2.1,4.4,,martila01
160,Henry Bibby,23,NYK,PG,55,0,8.6,1.4,3.7,.380,1.3,1.6,.849,1.5,1.2,1.2,4.2,,bibbyhe01
161,Bob Christian,26,ATL,C,55,,13.8,1.5,2.8,.548,1.1,1.4,.759,5.5,0.9,2.0,4.2,,chrisbo01
162,Jim King,31,CHI,SG,65,1,12.1,1.8,4.0,.441,0.7,0.8,.846,1.2,1.2,1.2,4.2,,kingji01
163,Mike Ratliff,21,KCO,C,58,,11.7,1.7,4.1,.417,0.8,1.4,.536,3.3,0.7,1.9,4.2,,ratlimi01
164,Paul Westphal,22,BOS,SG,60,,8.0,1.5,3.5,.420,1.1,1.4,.779,1.1,1.2,1.5,4.1,,westppa01
165,Joby Wright,22,SEA,PF,77,,12.1,1.7,3.6,.478,0.5,1.2,.416,2.8,0.5,2.1,3.9,,wrighjo01
166,Stan McKenzie,28,2TM,SF,33,,8.9,1.5,3.6,.403,0.9,1.1,.811,1.7,0.7,1.3,3.8,,mckenst01
166,Stan McKenzie,28,POR,SG,7,,15.3,1.9,5.1,.361,2.0,2.3,.875,3.0,1.1,2.1,5.7,,mckenst01
166,Stan McKenzie,28,HOU,SF,26,,7.2,1.3,3.2,.422,0.6,0.8,.762,1.3,0.6,1.1,3.3,,mckenst01
167,Dick Barnett,36,NYK,SG,51,4,10.1,1.7,4.4,.389,0.3,0.6,.533,0.8,1.0,1.0,3.8,,barnedi01
